TOP,JUNGLE,MIDDLE,BOTTOM,UTILITY,expected_win_rate
Sporus#EUW,BuddhaGoesSmite#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,WT GigaChad#1070,52.93333333333333
WT BrokenSword#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,52.556166056166056
Sporus#EUW,Tibbtokontop#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,WT GigaChad#1070,52.37362637362637
WT Nasty Boy#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,Sporus#EUW,Tibbtokontop#EUW,52.36208236208236
Sporus#EUW,WT BrokenSword#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,52.14987080103359
WT BrokenSword#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,WT GigaChad#1070,52.111721611721606
Sporus#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,WT GigaChad#1070,Tibbtokontop#EUW,52.04188034188035
Tibbtokontop#EUW,WT BrokenSword#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,WT GigaChad#1070,51.93245026900632
Sporus#EUW,WT BrokenSword#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,WT GigaChad#1070,51.70542635658914
Sporus#EUW,WT BrokenSword#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,BuddhaGoesSmite#EUW,51.642786535560056
WT BrokenSword#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,WT GigaChad#1070,Tibbtokontop#EUW,51.19206349206349
WT BrokenSword#EUW,WT Final Stand#EUW,Billy Bongo#EUW,WT GigaChad#1070,Tibbtokontop#EUW,50.96017943409248
Sporus#EUW,Tibbtokontop#EUW,WT Nasty Boy#EUW,WT GigaChad#1070,BuddhaGoesSmite#EUW,50.94688398849472
Sporus#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,Billy Bongo#EUW,WT BrokenSword#EUW,50.88095238095238
WT Nasty Boy#EUW,WT BrokenSword#EUW,BuddhaGoesSmite#EUW,WT GigaChad#1070,Tibbtokontop#EUW,50.82306427422706
Sporus#EUW,WT BrokenSword#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,50.71397336513614
WT BrokenSword#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,WT GigaChad#1070,BuddhaGoesSmite#EUW,50.68497922658997
Sporus#EUW,WT BrokenSword#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,WT GigaChad#1070,50.269528920691705
WT BrokenSword#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,WT GigaChad#1070,Tibbtokontop#EUW,49.75616605616605
Sporus#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,Billy Bongo#EUW,WT BrokenSword#EUW,49.44505494505494
Sporus#EUW,WT BrokenSword#EUW,WT Nasty Boy#EUW,WT GigaChad#1070,Tibbtokontop#EUW,49.34987080103359
Sporus#EUW,WT BrokenSword#EUW,Billy Bongo#EUW,WT GigaChad#1070,Tibbtokontop#EUW,49.11798674306258
Sporus#EUW,WT Final Stand#EUW,WT BrokenSword#EUW,Billy Bongo#EUW,Tibbtokontop#EUW,48.94444444444444
Sporus#EUW,WT BrokenSword#EUW,WT Nasty Boy#EUW,WT GigaChad#1070,BuddhaGoesSmite#EUW,48.842786535560066
WT BrokenSword#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,Sporus#EUW,Tibbtokontop#EUW,48.6031746031746
Sporus#EUW,WT Final Stand#EUW,WT BrokenSword#EUW,Billy Bongo#EUW,WT GigaChad#1070,48.50000000000001
WT Nasty Boy#EUW,WT BrokenSword#EUW,BuddhaGoesSmite#EUW,Sporus#EUW,Tibbtokontop#EUW,48.234175385338176
WT BrokenSword#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,Sporus#EUW,WT GigaChad#1070,48.15873015873016
WT BrokenSword#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,Sporus#EUW,BuddhaGoesSmite#EUW,48.09609033770108
Sporus#EUW,WT BrokenSword#EUW,BuddhaGoesSmite#EUW,WT GigaChad#1070,Tibbtokontop#EUW,47.91397336513616
WT Nasty Boy#EUW,WT BrokenSword#EUW,BuddhaGoesSmite#EUW,WT Final Stand#EUW,Tibbtokontop#EUW,47.315371966534755
WT BrokenSword#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,Sporus#EUW,Tibbtokontop#EUW,47.16727716727716
WT BrokenSword#EUW,WT Final Stand#EUW,BuddhaGoesSmite#EUW,Sporus#EUW,WT GigaChad#1070,46.72283272283273
Sporus#EUW,WT Final Stand#EUW,WT BrokenSword#EUW,WT GigaChad#1070,Tibbtokontop#EUW,46.144444444444446
